"zone","lga","sector","ea","hhid","indiv","s1q2","s1q3","s1q3_os","s1q4","s1q5","s1q6","s1q7_day","s1q7_month","s1q7_year","s1q8","s1q9","s1q10","s1q11a","s1q11b","s1q11c","s1q11d","s1q12","s1q13","s1q13b","s1q13c","s1q13c_os","s1q14","s1q15","s1q16m","s1q16y","s1q17","s1q18","s1q18b","s1q19","s1q20","s1q21","s1q22","s1q23","s1q24","s1q25","s1q26","s1q27","s1q28","s1q29","s1q30m","s1q30y","s1q31","s1q32a","s1q32b","s1q32c","s1q32d","s1q34"
4,115,1,670,10001,1,1,1,,1,,52,13,4,1963,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10001,2,2,2,,1,,37,21,1,1978,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10001,3,2,3,,1,,6,7,6,2009,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10001,4,2,12,,1,,48,15,4,1967,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10001,5,1,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,2013,1,"UMUAHIA SOUTH",116,"ABIA",1,
4,115,1,670,10001,6,2,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,2014,1,"OWERRI NORTH",1626,"IMO",16,
4,115,1,670,10001,7,1,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2014,1,"OWERRI NORTH",1626,"IMO",16,
4,115,1,670,10001,8,1,3,,1,,3,21,1,2012,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10002,1,1,1,,1,,52,,,1963,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10002,2,2,2,,1,,38,,,1977,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10002,3,1,3,,1,,14,,,2001,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10002,4,1,7,,1,,23,,,1992,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10002,5,2,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,2015,1,"UMUNNEOCHI",117,"ABIA",1,
4,115,1,670,10002,6,2,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,2015,1,"UMUNNEOCHI",117,"ABIA",1,
4,115,1,670,10002,7,1,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,2015,1,"UMUNNEOCHI",117,"ABAI",1,
4,115,1,670,10002,8,2,3,,1,,4,,,2011,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10002,9,2,3,,1,,2,8,10,2013,7,,,,,,,,,,,,2,,10,2013,1,1,,1,1,,,,1,2,,,,,,,,,,,,
4,115,1,670,10003,1,1,1,,1,,56,27,8,1959,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10003,2,2,2,,1,,45,21,3,1970,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10003,3,1,3,,1,,19,31,10,1995,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10003,4,2,3,,1,,18,27,2,1997,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10003,5,1,3,,1,,15,14,11,1999,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10003,6,1,3,,1,,11,14,5,2004,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10004,1,1,1,,1,,70,10,6,1945,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10004,2,2,2,,1,,58,16,10,1957,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10004,3,1,12,,1,,18,10,8,1997,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10004,4,2,3,,1,,24,3,10,1990,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10004,5,2,12,,1,,11,3,9,2004,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10005,1,1,1,,1,,48,3,12,1966,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10005,2,2,2,,1,,46,1,8,1969,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10005,3,1,3,,1,,14,30,4,2001,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10005,4,2,3,,1,,11,20,9,2003,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10005,5,2,3,,1,,9,31,7,2006,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10005,6,2,9,,1,,25,10,4,1990,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10005,7,1,3,,1,,1,12,11,2013,7,,,,,,,,,,,,2,,11,2012,1,1,,1,1,,,,1,2,,,,,,,,,,,,
4,115,1,0,10006,1,1,1,,1,,38,4,5,1977,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,0,10006,2,2,2,,1,,34,27,6,1981,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,0,10006,3,1,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,2011,,,,,,
4,115,1,0,10006,4,2,3,,1,,4,2,6,2011,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,0,10006,5,1,3,,1,,2,7,11,2013,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,0,10006,6,1,3,,1,,0,29,4,2015,7,,,,,,,,,,,,2,,4,2015,1,1,,1,1,,,,1,2,,,,,,,,,,,,
4,115,1,670,10008,1,1,1,,1,,62,20,7,1953,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10008,2,2,2,,1,,48,3,1,1967,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10008,3,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,2014,1,,,"OGUN",27,
4,115,1,670,10008,4,2,3,,1,,19,27,11,1995,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10008,5,2,3,,1,,18,5,6,1997,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10008,6,1,3,,1,,15,9,5,2000,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10008,7,2,3,,1,,14,17,11,2001,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10008,8,1,3,,1,,4,3,8,2011,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,105,2,0,10009,1,1,1,,1,,41,22,7,1974,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,105,2,0,10009,2,2,2,,1,,30,12,12,1984,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,105,2,0,10009,3,2,3,,1,,5,21,4,2010,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,105,2,0,10009,4,2,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2014,1,"IDEMILI NORTH",410,"ANAMBRA",4,
4,105,2,0,10009,5,2,3,,1,,4,22,6,2011,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,105,2,0,10009,6,2,12,,1,,12,25,5,2003,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,105,2,0,10009,7,1,3,,1,,1,3,7,2014,7,,,,,,,,,,,,2,,7,2014,1,1,,1,1,,,,1,2,,,,,,,,,,,,
4,115,1,670,10010,1,1,1,,1,,64,10,12,1950,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10010,2,2,2,,1,,59,12,5,1956,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10010,3,1,3,,1,,23,7,6,1992,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,1,670,10010,4,2,12,,1,,21,20,2,1994,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10011,1,2,1,,1,,51,17,3,1964,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10011,2,2,3,,1,,28,23,7,1987,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10011,3,1,3,,1,,26,30,4,1989,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10011,4,1,3,,1,,22,14,1,1993,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10011,5,1,3,,1,,25,17,2,1990,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10011,6,2,3,,1,,23,10,1,1992,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10012,1,1,14,"FORMER HEAD (DEAD)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,2013,,,,,,
4,104,2,1364,10012,2,2,1,,1,,61,20,7,1954,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10012,3,1,3,,1,,32,5,6,1983,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10012,4,1,3,,1,,44,15,2,1971,1,,,,,,,1,5,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10012,5,2,9,,1,,26,28,1,1989,1,,,,,,,1,4,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10012,6,1,6,,1,,6,9,4,2009,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10012,7,1,6,,1,,4,25,8,2011,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10012,8,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,2014,,,,,,
4,104,2,1364,10012,9,2,6,,1,,1,12,3,2014,7,,,,,,,,,,,,2,,5,2014,1,1,,1,4,,,,1,5,,,,,,,,,,,,
4,104,2,1364,10013,1,2,1,,1,,73,15,4,1942,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10013,2,1,3,,1,,40,11,7,1975,1,,,,,,,1,12,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10013,3,1,3,,1,,39,17,5,1976,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10013,4,2,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,2014,1,"ABUJA AREA COUNCIL",3706,,37,
4,104,2,1364,10013,5,2,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,2014,1,"ABUJA AREA COUNCIL",3706,,37,
4,104,2,1364,10013,6,2,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,2013,1,"IKOROBASI",312,"AKWA IBOM",3,
4,104,2,1364,10013,7,2,12,,1,,25,23,6,1990,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10013,8,2,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,2013,1,"BENDE",104,"ABIA",1,
4,104,2,1364,10013,9,2,12,,1,,20,7,4,1995,7,,,,,,,,,,,,2,,6,2015,11,1,,2,,1,16,1,2,,1,14,1,,,,,,,,,
4,104,2,1364,10013,10,1,6,,1,,1,2,8,2014,7,,,,,,,,,,,,2,,6,2015,1,1,,1,2,,26,7,1,9,,,,,,,,,,,,
4,104,2,1364,10013,11,2,12,,1,,18,4,6,1997,7,,,,,,,,,,,,2,,6,2015,11,1,,2,,1,16,1,2,,1,16,1,,,,,,,,,
4,104,2,1364,10013,12,2,9,,1,,22,3,2,1993,1,,,,,,,1,2,2,,,2,,8,2013,3,1,,2,,2,16,1,2,,1,16,1,,,,,,,,,
4,104,2,1364,10014,1,2,1,,1,,61,18,11,1953,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10014,2,2,3,,1,,44,8,3,1971,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,0,10015,1,1,1,,1,,75,20,4,1940,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,0,10015,2,2,2,,1,,57,15,6,1958,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10016,1,1,1,,1,,45,19,11,1969,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10016,2,2,2,,1,,47,22,5,1968,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10016,3,2,3,,1,,19,17,5,1996,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10016,4,1,3,,1,,16,24,2,1999,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10016,5,2,3,,1,,8,23,3,2007,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10016,6,2,3,,1,,21,27,9,1993,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10017,1,1,1,,1,,67,20,10,1947,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10017,2,2,2,,1,,56,12,3,1959,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10017,3,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,2014,,,,,,
4,104,2,1364,10017,4,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,2014,2,,,,,11
4,104,2,1364,10017,5,1,3,,1,,23,8,4,1992,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10017,6,1,3,,1,,25,27,4,1990,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10018,1,1,1,,1,,50,14,4,1965,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10018,2,2,2,,1,,41,16,9,1973,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10018,3,1,3,,1,,16,28,11,1998,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10018,4,1,3,,1,,14,15,1,2001,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10018,5,2,3,,1,,10,3,4,2005,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10019,1,2,1,,1,,57,30,2,1958,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10019,2,1,3,,1,,30,27,5,1985,1,,,,,,,1,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10019,3,2,9,,1,,27,17,6,1988,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10019,4,1,6,,1,,4,21,7,2011,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10019,5,2,6,,1,,22,3,5,1993,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10019,6,2,3,,1,,28,14,7,1987,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10019,7,2,6,,1,,3,15,5,2012,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,104,2,1364,10019,8,1,6,,1,,2,23,3,2013,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10021,1,1,1,,1,,57,30,7,1958,1,,,,,,,1,2,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10021,2,2,2,,1,,32,13,12,1982,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10021,3,1,3,,1,,23,23,5,1992,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10021,4,2,3,,1,,17,26,5,1998,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10021,5,2,3,,1,,15,26,5,2000,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10022,1,1,1,,1,,53,19,2,1962,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10022,2,2,2,,1,,43,20,4,1972,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10022,3,1,3,,1,,19,30,2,1996,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10022,4,1,3,,1,,18,20,6,1997,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10022,5,2,3,,1,,21,10,8,1994,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10022,6,1,3,,1,,11,30,6,2004,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10023,1,1,1,,1,,57,1,10,1958,2,1,2,1996,2012,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10023,2,2,2,,1,,52,26,1,1963,2,2,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10023,3,2,9,,1,,18,13,4,1997,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10023,4,2,2,,1,,33,27,9,1981,2,2,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10023,5,1,3,,1,,3,1,7,2012,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10023,6,1,3,,1,,0,5,3,2015,7,,,,,,,,,,,,2,,3,2015,1,1,,1,1,,,,1,4,,,,,,,,,,,,
4,106,2,880,10024,1,2,1,,1,,75,10,11,1939,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10024,2,2,3,,1,,56,24,12,1958,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10025,1,1,1,,1,,32,11,9,1982,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10025,2,2,2,,1,,31,5,7,1984,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10025,3,2,3,,1,,6,17,4,2009,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10025,4,2,3,,1,,4,13,8,2011,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10025,5,1,3,,1,,2,27,7,2013,7,,,,,,,,,,,,2,,7,2013,1,1,,1,1,,,,1,2,,,,,,,,,,,,
4,106,2,880,10027,1,1,1,,1,,61,28,7,1954,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10027,2,2,2,,1,,51,10,1,1964,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10027,3,1,3,,1,,27,15,11,1987,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10027,4,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,2011,1,"BAYELSA (YENEGWUA)",608,"BAYELSA",6,
4,106,2,880,10027,5,1,3,,1,,13,9,4,2002,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10028,1,2,1,,1,,92,14,11,1923,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10029,1,1,1,,1,,44,23,12,1971,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10029,2,2,2,,1,,32,23,8,1983,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10029,3,1,3,,1,,8,23,12,2006,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10029,4,2,3,,1,,6,8,12,2008,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10030,1,1,1,,1,,47,23,2,1968,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10030,2,2,2,,1,,42,31,5,1973,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10030,3,2,3,,1,,23,5,2,1992,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10030,4,1,3,,1,,20,15,5,1995,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10030,5,2,3,,1,,18,25,7,1997,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10030,6,2,3,,1,,16,31,1,1999,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10030,7,2,3,,1,,14,17,4,2001,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10030,8,1,3,,1,,12,14,2,2003,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,106,2,880,10030,9,2,3,,1,,2,5,10,2012,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10031,1,1,1,,1,,45,9,10,1969,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10031,2,2,2,,1,,42,21,6,1973,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10031,3,1,3,,1,,11,2,11,2003,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10031,4,1,3,,1,,10,3,8,2005,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10031,5,2,3,,1,,7,4,6,2008,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10032,1,1,1,,1,,50,6,8,1965,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10032,2,2,2,,1,,35,30,7,1980,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10032,3,2,9,,1,,11,15,9,2003,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10032,4,1,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,2010,1,"OYIBO",3221,"RIVERS STATE",32,
4,111,1,1146,10032,5,1,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,2014,1,"IKOT EKPENE",313,"AKWA IBOM",3,
4,111,1,1146,10032,6,2,9,,1,,22,2,12,1992,7,,,,,,,,,,,,2,,8,2013,7,2,,2,,1,16,1,2,,2,15,1,,,,,,,,,
4,111,1,1146,10033,1,1,1,,1,,55,15,7,1960,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10033,2,2,2,,1,,51,12,2,1964,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10033,3,2,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,2013,,,,,,
4,111,1,1146,10034,1,1,14,"FORMER HEAD (DEAD)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,2012,,,,,,
4,111,1,1146,10034,2,2,1,,1,,54,12,7,1961,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10034,3,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2013,2,,,,,16
4,111,1,1146,10034,4,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2013,2,,,,,16
4,111,1,1146,10034,5,2,3,,1,,27,,,1988,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10034,6,2,3,,1,,25,,,1990,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10034,7,1,3,,1,,24,,,1990,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10034,8,2,3,,1,,23,,,1992,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10034,9,1,3,,1,,21,,,1994,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10034,10,2,3,,1,,19,,,1996,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10034,11,2,3,,1,,17,,,1998,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10034,12,1,3,,1,,15,,,2000,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10035,1,1,1,,1,,63,12,7,1952,1,,,,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,1,1146,10035,2,2,2,,1,,55,20,10,1959,1,,,,,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
